time_s,radius_m
1.134000000000000000e+05,1.201000000000000158e-02
1.152000000000000000e+05,1.201000000000000158e-02
1.170000000000000000e+05,1.201000000000000158e-02
1.188000000000000000e+05,1.201000000000000158e-02
1.206000000000000000e+05,1.201000000000000158e-02
1.224000000000000000e+05,1.201000000000000158e-02
1.242000000000000000e+05,1.201000000000000158e-02
1.260000000000000000e+05,1.200000000000000025e-02
1.278000000000000000e+05,1.200000000000000025e-02
1.296000000000000000e+05,1.200000000000000025e-02
1.314000000000000000e+05,1.200000000000000025e-02
1.332000000000000000e+05,1.200000000000000025e-02
1.350000000000000000e+05,1.200000000000000025e-02
1.368000000000000000e+05,1.200000000000000025e-02
1.386000000000000000e+05,1.200000000000000025e-02
1.404000000000000000e+05,1.200000000000000025e-02
1.422000000000000000e+05,1.200000000000000025e-02
1.440000000000000000e+05,1.200000000000000025e-02
1.458000000000000000e+05,1.200000000000000025e-02
1.476000000000000000e+05,1.200000000000000025e-02
1.494000000000000000e+05,1.200000000000000025e-02
1.512000000000000000e+05,1.200000000000000025e-02
1.530000000000000000e+05,1.200000000000000025e-02
1.548000000000000000e+05,1.200000000000000025e-02
1.566000000000000000e+05,1.200000000000000025e-02
1.584000000000000000e+05,1.200000000000000025e-02
1.602000000000000000e+05,1.200000000000000025e-02
1.620000000000000000e+05,1.200000000000000025e-02
1.638000000000000000e+05,1.200000000000000025e-02
1.656000000000000000e+05,1.200000000000000025e-02
1.674000000000000000e+05,1.200000000000000025e-02
1.692000000000000000e+05,1.200000000000000025e-02
1.710000000000000000e+05,1.200000000000000025e-02
1.728000000000000000e+05,1.200000000000000025e-02
1.746000000000000000e+05,1.200000000000000025e-02
1.764000000000000000e+05,1.200000000000000025e-02
1.782000000000000000e+05,1.200000000000000025e-02
1.800000000000000000e+05,1.200000000000000025e-02
1.818000000000000000e+05,1.200000000000000025e-02
1.836000000000000000e+05,1.200000000000000025e-02
1.854000000000000000e+05,1.200000000000000025e-02
1.872000000000000000e+05,1.200000000000000025e-02
1.890000000000000000e+05,1.200000000000000025e-02
1.908000000000000000e+05,1.200000000000000025e-02
1.926000000000000000e+05,1.200000000000000025e-02
1.944000000000000000e+05,1.200000000000000025e-02
1.962000000000000000e+05,1.200000000000000025e-02
1.980000000000000000e+05,1.200000000000000025e-02
1.998000000000000000e+05,1.200000000000000025e-02
2.016000000000000000e+05,1.200000000000000025e-02
2.034000000000000000e+05,1.200000000000000025e-02
2.052000000000000000e+05,1.200000000000000025e-02
2.070000000000000000e+05,1.200000000000000025e-02
2.088000000000000000e+05,1.199000000000000066e-02
2.106000000000000000e+05,1.199000000000000066e-02
2.124000000000000000e+05,1.199000000000000066e-02
2.142000000000000000e+05,1.199000000000000066e-02
2.160000000000000000e+05,1.199000000000000066e-02
2.178000000000000000e+05,1.199000000000000066e-02
2.196000000000000000e+05,1.199000000000000066e-02
2.214000000000000000e+05,1.199000000000000066e-02
2.232000000000000000e+05,1.199000000000000066e-02
2.250000000000000000e+05,1.199000000000000066e-02
2.268000000000000000e+05,1.199000000000000066e-02
2.286000000000000000e+05,1.199000000000000066e-02
2.304000000000000000e+05,1.199000000000000066e-02
2.322000000000000000e+05,1.199000000000000066e-02
2.340000000000000000e+05,1.199000000000000066e-02
2.358000000000000000e+05,1.199000000000000066e-02
2.376000000000000000e+05,1.199000000000000066e-02
2.394000000000000000e+05,1.199000000000000066e-02
2.412000000000000000e+05,1.197999999999999933e-02
2.430000000000000000e+05,1.197999999999999933e-02
2.448000000000000000e+05,1.197999999999999933e-02
2.466000000000000000e+05,1.197999999999999933e-02
2.484000000000000000e+05,1.197999999999999933e-02
2.502000000000000000e+05,1.197999999999999933e-02
2.520000000000000000e+05,1.197999999999999933e-02
2.538000000000000000e+05,1.197999999999999933e-02
2.556000000000000000e+05,1.197999999999999933e-02
2.574000000000000000e+05,1.197999999999999933e-02
2.592000000000000000e+05,1.197999999999999933e-02
