time_s,temperature_C,moisture_kg_kg
3.180000000000000000e+03,4.660199999999999676e+01,4.127999999999999725e-02
3.240000000000000000e+03,4.676100000000000279e+01,4.157000000000000278e-02
3.300000000000000000e+03,4.693299999999999983e+01,4.186999999999999750e-02
3.360000000000000000e+03,4.691199999999999903e+01,4.204999999999999710e-02
3.420000000000000000e+03,4.708899999999999864e+01,4.229000000000000120e-02
3.480000000000000000e+03,4.700800000000000267e+01,4.247000000000000081e-02
3.540000000000000000e+03,4.711099999999999710e+01,4.277000000000000246e-02
3.600000000000000000e+03,4.748499999999999943e+01,4.272000000000000103e-02
3.660000000000000000e+03,4.749799999999999756e+01,4.311999999999999861e-02
3.720000000000000000e+03,4.764600000000000080e+01,4.333000000000000046e-02
3.780000000000000000e+03,4.784000000000000341e+01,4.368999999999999967e-02
3.840000000000000000e+03,4.787299999999999756e+01,4.372999999999999804e-02
3.900000000000000000e+03,4.792600000000000193e+01,4.388999999999999846e-02
3.960000000000000000e+03,4.801599999999999824e+01,4.420000000000000318e-02
4.020000000000000000e+03,4.797699999999999676e+01,4.422000000000000236e-02
4.080000000000000000e+03,4.792600000000000193e+01,4.435000000000000053e-02
4.140000000000000000e+03,4.819899999999999807e+01,4.467999999999999750e-02
4.200000000000000000e+03,4.816599999999999682e+01,4.483000000000000179e-02
4.260000000000000000e+03,4.833100000000000307e+01,4.490999999999999853e-02
4.320000000000000000e+03,4.861500000000000199e+01,4.513999999999999957e-02
4.380000000000000000e+03,4.838000000000000256e+01,4.529999999999999999e-02
4.440000000000000000e+03,4.835699999999999932e+01,4.542999999999999816e-02
4.500000000000000000e+03,4.852600000000000335e+01,4.560999999999999777e-02
4.560000000000000000e+03,4.859000000000000341e+01,4.589000000000000024e-02
4.620000000000000000e+03,4.882500000000000284e+01,4.585000000000000187e-02
4.680000000000000000e+03,4.882699999999999818e+01,4.628999999999999782e-02
4.740000000000000000e+03,4.898799999999999955e+01,4.640999999999999986e-02
4.800000000000000000e+03,4.897899999999999920e+01,4.633000000000000312e-02
4.860000000000000000e+03,4.889999999999999858e+01,4.639000000000000068e-02
4.920000000000000000e+03,4.914399999999999835e+01,4.660000000000000253e-02
4.980000000000000000e+03,4.886999999999999744e+01,4.687000000000000194e-02
5.040000000000000000e+03,4.884000000000000341e+01,4.689000000000000112e-02
5.100000000000000000e+03,4.891299999999999670e+01,4.707000000000000073e-02
5.160000000000000000e+03,4.926100000000000279e+01,4.705000000000000154e-02
5.220000000000000000e+03,4.916899999999999693e+01,4.719999999999999890e-02
5.280000000000000000e+03,4.905599999999999739e+01,4.712999999999999828e-02
5.340000000000000000e+03,4.925699999999999790e+01,4.744000000000000300e-02
5.400000000000000000e+03,4.911599999999999966e+01,4.728000000000000258e-02
5.460000000000000000e+03,4.941499999999999915e+01,4.760000000000000342e-02
5.520000000000000000e+03,4.932099999999999795e+01,4.776999999999999996e-02
5.580000000000000000e+03,4.931700000000000017e+01,4.750999999999999668e-02
5.640000000000000000e+03,4.930400000000000205e+01,4.782000000000000139e-02
5.700000000000000000e+03,4.949199999999999733e+01,4.764999999999999791e-02
5.760000000000000000e+03,4.938400000000000034e+01,4.802000000000000018e-02
5.820000000000000000e+03,4.927199999999999847e+01,4.778999999999999915e-02
5.880000000000000000e+03,4.931000000000000227e+01,4.827000000000000041e-02
5.940000000000000000e+03,4.974900000000000233e+01,4.794999999999999957e-02
6.000000000000000000e+03,4.974300000000000210e+01,4.841000000000000164e-02
6.060000000000000000e+03,4.965999999999999659e+01,4.839999999999999858e-02
6.120000000000000000e+03,4.946300000000000097e+01,4.836000000000000021e-02
6.180000000000000000e+03,4.982999999999999829e+01,4.850999999999999757e-02
6.240000000000000000e+03,4.975300000000000011e+01,4.857999999999999818e-02
6.300000000000000000e+03,4.973899999999999721e+01,4.871000000000000330e-02
6.360000000000000000e+03,4.962199999999999989e+01,4.841999999999999776e-02
6.420000000000000000e+03,4.954999999999999716e+01,4.864000000000000268e-02
6.480000000000000000e+03,4.947699999999999676e+01,4.845000000000000001e-02
6.540000000000000000e+03,4.989099999999999824e+01,4.875000000000000167e-02
6.600000000000000000e+03,4.968299999999999983e+01,4.857999999999999818e-02
6.660000000000000000e+03,4.956900000000000261e+01,4.882000000000000228e-02
6.720000000000000000e+03,4.963300000000000267e+01,4.886000000000000065e-02
6.780000000000000000e+03,4.978099999999999881e+01,4.884999999999999759e-02
6.840000000000000000e+03,4.959199999999999875e+01,4.891999999999999821e-02
6.900000000000000000e+03,4.994100000000000250e+01,4.907999999999999863e-02
6.960000000000000000e+03,4.990200000000000102e+01,4.913000000000000006e-02
7.020000000000000000e+03,4.989200000000000301e+01,4.902000000000000107e-02
7.080000000000000000e+03,4.975900000000000034e+01,4.911000000000000087e-02
7.140000000000000000e+03,4.986500000000000199e+01,4.929999999999999660e-02
7.200000000000000000e+03,4.985199999999999676e+01,4.893999999999999739e-02
7.260000000000000000e+03,4.989300000000000068e+01,4.896999999999999964e-02
7.320000000000000000e+03,4.961899999999999977e+01,4.898000000000000270e-02
7.380000000000000000e+03,4.979200000000000159e+01,4.929000000000000048e-02
7.440000000000000000e+03,4.961200000000000188e+01,4.920000000000000068e-02
7.500000000000000000e+03,4.984499999999999886e+01,4.941000000000000253e-02
7.560000000000000000e+03,4.977000000000000313e+01,4.938000000000000028e-02
7.620000000000000000e+03,4.968299999999999983e+01,4.923999999999999905e-02
7.680000000000000000e+03,4.966899999999999693e+01,4.954000000000000070e-02
7.740000000000000000e+03,4.991599999999999682e+01,4.950000000000000233e-02
7.800000000000000000e+03,4.971399999999999864e+01,4.927999999999999742e-02
7.860000000000000000e+03,5.009499999999999886e+01,4.934999999999999803e-02
7.920000000000000000e+03,4.992900000000000205e+01,4.934000000000000191e-02
7.980000000000000000e+03,4.981700000000000017e+01,4.929000000000000048e-02
8.040000000000000000e+03,4.994299999999999784e+01,4.929999999999999660e-02
8.100000000000000000e+03,4.966400000000000148e+01,4.970999999999999724e-02
8.160000000000000000e+03,5.013499999999999801e+01,4.948000000000000315e-02
8.220000000000000000e+03,4.990200000000000102e+01,4.947000000000000008e-02
8.280000000000000000e+03,5.005599999999999739e+01,4.966000000000000275e-02
8.340000000000000000e+03,4.971000000000000085e+01,4.959000000000000213e-02
8.400000000000000000e+03,4.991499999999999915e+01,4.979999999999999705e-02
8.460000000000000000e+03,4.992000000000000171e+01,4.973000000000000337e-02
8.520000000000000000e+03,5.014699999999999847e+01,4.959999999999999826e-02
8.580000000000000000e+03,4.996699999999999875e+01,4.955999999999999989e-02
8.640000000000000000e+03,4.992099999999999937e+01,4.988000000000000073e-02
8.700000000000000000e+03,4.982099999999999795e+01,4.975999999999999868e-02
8.760000000000000000e+03,4.985600000000000165e+01,4.988999999999999685e-02
8.820000000000000000e+03,4.995300000000000296e+01,4.948999999999999927e-02
8.880000000000000000e+03,4.991499999999999915e+01,4.986000000000000154e-02
8.940000000000000000e+03,4.970799999999999841e+01,4.977000000000000174e-02
9.000000000000000000e+03,5.016299999999999670e+01,4.981000000000000011e-02
9.060000000000000000e+03,5.019800000000000040e+01,5.004000000000000115e-02
9.120000000000000000e+03,4.982000000000000028e+01,5.009000000000000258e-02
9.180000000000000000e+03,5.002700000000000102e+01,4.975999999999999868e-02
9.240000000000000000e+03,4.980400000000000205e+01,4.997999999999999665e-02
9.300000000000000000e+03,5.008599999999999852e+01,5.016000000000000320e-02
9.360000000000000000e+03,4.989099999999999824e+01,4.989999999999999991e-02
9.420000000000000000e+03,5.007999999999999829e+01,4.997999999999999665e-02
9.480000000000000000e+03,5.011299999999999955e+01,4.997000000000000053e-02
9.540000000000000000e+03,5.013400000000000034e+01,4.989999999999999991e-02
9.600000000000000000e+03,4.980400000000000205e+01,5.020999999999999769e-02
9.660000000000000000e+03,5.020799999999999841e+01,5.013999999999999707e-02
9.720000000000000000e+03,4.986500000000000199e+01,4.981000000000000011e-02
9.780000000000000000e+03,4.976899999999999835e+01,5.025000000000000300e-02
9.840000000000000000e+03,5.002700000000000102e+01,5.018999999999999850e-02
9.900000000000000000e+03,4.993500000000000227e+01,4.988999999999999685e-02
9.960000000000000000e+03,5.016499999999999915e+01,5.016999999999999932e-02
1.002000000000000000e+04,5.015400000000000347e+01,4.979999999999999705e-02
1.008000000000000000e+04,4.990899999999999892e+01,5.025000000000000300e-02
1.014000000000000000e+04,5.022599999999999909e+01,5.007999999999999952e-02
1.020000000000000000e+04,4.989500000000000313e+01,5.007999999999999952e-02
1.026000000000000000e+04,5.000800000000000267e+01,4.979999999999999705e-02
1.032000000000000000e+04,4.987800000000000011e+01,5.020000000000000157e-02
1.038000000000000000e+04,5.021800000000000352e+01,4.975999999999999868e-02
1.044000000000000000e+04,4.983200000000000074e+01,4.986999999999999766e-02
1.050000000000000000e+04,4.977199999999999847e+01,4.982000000000000317e-02
1.056000000000000000e+04,4.996800000000000352e+01,5.013999999999999707e-02
1.062000000000000000e+04,5.024600000000000222e+01,4.984999999999999848e-02
1.068000000000000000e+04,5.019599999999999795e+01,5.020999999999999769e-02
1.074000000000000000e+04,5.012400000000000233e+01,5.007999999999999952e-02
1.080000000000000000e+04,5.019500000000000028e+01,4.977000000000000174e-02
1.086000000000000000e+04,5.019700000000000273e+01,4.975000000000000255e-02
1.092000000000000000e+04,5.000900000000000034e+01,4.977999999999999786e-02
1.098000000000000000e+04,4.990800000000000125e+01,5.004999999999999727e-02
1.104000000000000000e+04,5.013600000000000279e+01,5.015000000000000013e-02
1.110000000000000000e+04,5.008100000000000307e+01,4.986999999999999766e-02
1.116000000000000000e+04,4.993699999999999761e+01,5.016999999999999932e-02
1.122000000000000000e+04,4.979699999999999704e+01,4.977999999999999786e-02
1.128000000000000000e+04,5.012299999999999756e+01,5.015000000000000013e-02
1.134000000000000000e+04,4.988100000000000023e+01,5.020999999999999769e-02
1.140000000000000000e+04,5.021800000000000352e+01,5.013999999999999707e-02
1.146000000000000000e+04,4.986999999999999744e+01,5.009999999999999870e-02
1.152000000000000000e+04,4.981099999999999994e+01,5.016999999999999932e-02
1.158000000000000000e+04,5.016599999999999682e+01,4.977000000000000174e-02
1.164000000000000000e+04,4.982699999999999818e+01,4.984999999999999848e-02
1.170000000000000000e+04,4.984000000000000341e+01,4.981000000000000011e-02
1.176000000000000000e+04,5.004999999999999716e+01,5.000000000000000278e-02
1.182000000000000000e+04,5.018699999999999761e+01,5.011999999999999789e-02
1.188000000000000000e+04,4.984799999999999898e+01,5.007000000000000339e-02
1.194000000000000000e+04,4.990500000000000114e+01,5.018000000000000238e-02
1.200000000000000000e+04,5.013900000000000290e+01,4.982999999999999929e-02
1.206000000000000000e+04,5.023599999999999710e+01,5.011999999999999789e-02
1.212000000000000000e+04,5.000000000000000000e+01,4.984999999999999848e-02
1.218000000000000000e+04,4.982200000000000273e+01,4.988999999999999685e-02
1.224000000000000000e+04,4.975699999999999790e+01,5.009999999999999870e-02
1.230000000000000000e+04,4.986500000000000199e+01,5.023999999999999994e-02
1.236000000000000000e+04,4.981600000000000250e+01,5.006000000000000033e-02
1.242000000000000000e+04,5.008899999999999864e+01,4.977999999999999786e-02
1.248000000000000000e+04,4.981099999999999994e+01,5.006000000000000033e-02
1.254000000000000000e+04,5.000300000000000011e+01,4.977000000000000174e-02
1.260000000000000000e+04,5.009700000000000131e+01,5.018999999999999850e-02
1.266000000000000000e+04,5.004099999999999682e+01,5.009999999999999870e-02
1.272000000000000000e+04,4.985000000000000142e+01,4.984000000000000236e-02
1.278000000000000000e+04,5.015200000000000102e+01,4.979999999999999705e-02
1.284000000000000000e+04,5.010799999999999699e+01,4.984000000000000236e-02
1.290000000000000000e+04,5.011899999999999977e+01,5.023999999999999994e-02
1.296000000000000000e+04,4.981600000000000250e+01,4.997999999999999665e-02
1.302000000000000000e+04,4.981199999999999761e+01,5.013999999999999707e-02
1.308000000000000000e+04,5.021399999999999864e+01,5.007000000000000339e-02
1.314000000000000000e+04,4.994899999999999807e+01,5.004000000000000115e-02
1.320000000000000000e+04,4.989999999999999858e+01,4.982000000000000317e-02
1.326000000000000000e+04,4.999399999999999977e+01,5.022000000000000075e-02
1.332000000000000000e+04,5.008100000000000307e+01,4.989999999999999991e-02
1.338000000000000000e+04,5.022800000000000153e+01,5.004000000000000115e-02
1.344000000000000000e+04,4.989300000000000068e+01,5.009999999999999870e-02
1.350000000000000000e+04,5.021200000000000330e+01,5.007000000000000339e-02
1.356000000000000000e+04,4.976200000000000045e+01,5.022000000000000075e-02
1.362000000000000000e+04,5.002799999999999869e+01,4.982000000000000317e-02
1.368000000000000000e+04,5.006700000000000017e+01,5.000000000000000278e-02
1.374000000000000000e+04,4.980299999999999727e+01,4.995000000000000134e-02
1.380000000000000000e+04,4.982000000000000028e+01,4.998999999999999971e-02
1.386000000000000000e+04,4.996000000000000085e+01,4.981000000000000011e-02
1.392000000000000000e+04,5.023299999999999699e+01,4.982000000000000317e-02
1.398000000000000000e+04,5.004800000000000182e+01,4.988999999999999685e-02
1.404000000000000000e+04,5.021699999999999875e+01,4.989999999999999991e-02
1.410000000000000000e+04,5.015200000000000102e+01,4.995999999999999747e-02
1.416000000000000000e+04,4.998400000000000176e+01,5.006000000000000033e-02
1.422000000000000000e+04,5.014200000000000301e+01,5.007000000000000339e-02
1.428000000000000000e+04,4.975900000000000034e+01,4.995999999999999747e-02
1.434000000000000000e+04,4.980499999999999972e+01,4.995000000000000134e-02
1.440000000000000000e+04,5.016499999999999915e+01,4.986000000000000154e-02
